word,n,sessions,claude_pm,you_pm,so_pm,eng_pm,vs_so,so_is_floor
gating,24,14,123,0,0.161,0.36,759.2,
dedup,20,10,102,0,0.158,0.0,646.6,
decisive,21,10,107,0,0.168,6.31,636.8,
verdict,39,22,199,0,0.316,10.7,630.5,
scaffolds,23,5,117,24,0.206,0.3,569.8,
settles,28,8,143,97,0.33,2.45,433.5,
handoff,22,8,112,0,0.314,0.34,358.3,
prod,493,23,2518,1557,9.14,1.78,275.5,
pr,498,48,2543,3114,9.341,15.5,272.3,
gated,26,15,133,0,0.506,1.7,262.5,
genuinely,64,26,327,24,1.461,12.6,223.8,
errored,20,7,102,0,0.476,0.02,214.5,
blocker,48,19,245,24,1.3,1.58,188.6,
pre-existing,109,35,557,49,3.041,34.5,183.0,
drift,63,19,322,97,1.759,6.61,183.0,
lands,47,19,240,49,1.327,23.4,180.9,
divergence,24,12,123,0,0.74,1.48,165.7,
round-trip,60,12,306,49,1.894,50.4,161.8,
ai,176,18,899,1119,5.795,17.0,155.1,
lint,113,26,577,292,3.776,0.98,152.9,
gate,101,30,516,49,3.474,29.5,148.5,
deps,46,17,235,24,1.613,0.04,145.6,
flips,40,18,204,0,1.465,1.95,139.4,
stale,174,37,889,292,6.569,2.69,135.3,
churn,20,11,102,49,0.756,1.17,135.1,
wiring,75,22,383,24,2.858,3.39,134.0,
survives,21,12,107,0,0.879,3.55,122.0,
mint,34,8,174,24,1.494,8.32,116.3,
readiness,21,5,107,24,0.934,3.89,114.8,
end-to-end,44,22,225,24,2.058,237.0,109.2,
uncommitted,55,17,281,49,2.741,0.24,102.5,
scaffold,55,14,281,219,2.749,1.07,102.2,
landed,31,14,158,24,1.585,17.4,99.9,
settle,36,6,184,73,1.894,23.4,97.1,
redeploy,51,6,260,73,2.737,0.22,95.2,
incl,21,14,107,0,1.13,1.66,94.9,
re-run,96,23,490,97,5.574,110.0,88.0,
framing,21,7,107,122,1.275,3.8,84.1,
bearer,61,7,312,49,3.732,2.69,83.5,
gates,23,13,117,0,1.501,20.0,78.3,
surfaces,32,18,163,0,2.108,10.5,77.5,
flagged,50,25,255,341,3.367,2.04,75.8,
harness,26,10,133,0,1.777,4.68,74.7,
parity,35,12,179,24,2.454,2.57,72.8,
carries,54,24,276,24,3.835,17.0,71.9,
confirmed,172,51,878,292,12.355,46.8,71.1,
healthy,27,10,138,0,1.947,63.1,70.8,
regenerated,25,5,128,0,1.807,0.57,70.6,
untouched,56,22,286,24,4.231,2.63,67.6,
reuses,26,12,133,0,1.966,0.1,67.5,
unlink,23,5,117,316,1.782,0.06,65.9,
mirrors,27,12,138,0,2.116,6.46,65.2,
rejects,37,17,189,146,2.945,4.68,64.2,
confirming,27,15,138,0,2.158,4.68,63.9,
deploys,25,9,128,24,2.055,0.63,62.1,
confirms,46,23,235,0,3.856,6.92,60.9,
stray,26,11,133,0,2.185,5.5,60.8,
genuine,25,16,128,0,2.182,23.4,58.5,
wired,46,21,235,49,4.024,6.31,58.4,
warm,21,7,107,0,1.852,51.3,57.9,
authoritative,24,11,123,0,2.138,2.51,57.3,
follow-up,31,16,158,24,2.794,131.0,56.7,
skips,66,26,337,170,6.388,1.41,52.8,
floor,72,8,368,24,7.185,87.1,51.2,
probe,32,12,163,24,3.204,9.77,51.0,
bump,31,9,158,195,3.171,9.55,49.9,
audience,46,5,235,49,4.763,53.7,49.3,
cleanly,69,23,352,49,7.207,1.05,48.9,
promote,37,5,189,0,3.997,36.3,47.3,
renders,169,25,863,122,18.351,2.0,47.0,
confirm,342,56,1747,316,37.77,25.1,46.2,
kills,36,19,184,0,4.081,21.9,45.1,
headless,52,9,266,292,5.962,1.02,44.5,
discovery,66,7,337,49,7.748,28.2,43.5,
edits,85,31,434,292,10.044,2.75,43.2,
no-op,30,13,153,73,3.59,26.0,42.7,
harmless,20,14,102,0,2.439,6.17,41.9,
idempotent,25,10,128,73,3.107,0.06,41.1,
bare,103,19,526,146,12.848,15.1,40.9,
guard,108,31,552,49,13.703,53.7,40.3,
touched,55,22,281,73,6.994,20.0,40.2,
grants,25,7,128,49,3.208,14.1,39.8,
ships,46,20,235,0,6.057,35.5,38.8,
finalize,21,6,107,0,2.767,0.78,38.8,
pinned,21,12,107,0,2.816,4.57,38.1,
findings,25,15,128,49,3.367,24.0,37.9,
drops,49,23,250,0,6.635,21.4,37.7,
untracked,23,12,117,0,3.181,0.05,36.9,
gap,86,29,439,73,12.063,29.5,36.4,
stays,111,36,567,49,15.87,18.2,35.7,
silently,81,30,414,122,11.691,3.8,35.4,
land,39,24,199,24,5.722,166.0,34.8,
lives,85,29,434,146,12.535,138.0,34.6,
ship,66,20,337,73,9.745,85.1,34.6,
proves,22,12,112,24,3.295,11.5,34.1,
truth,61,22,312,97,9.213,112.0,33.8,
resolves,105,31,536,24,16.198,1.35,33.1,
silent,40,16,204,24,6.187,28.2,33.0,
published,151,27,771,1071,24.4,117.0,31.6,
self-contained,30,6,153,0,4.852,24.3,31.6,
verified,92,32,470,170,14.906,8.71,31.5,
sha,21,6,107,146,3.429,2.24,31.3,
banner,34,5,174,24,5.593,13.2,31.0,
verbatim,25,7,128,73,4.114,1.17,31.0,
proven,31,11,158,0,5.124,21.4,30.9,
absent,27,19,138,0,4.581,9.55,30.1,
dead,94,26,480,97,16.068,155.0,29.9,
approval,22,6,112,195,3.779,31.6,29.7,
committing,36,15,184,49,6.253,7.59,29.4,
mirror,45,22,230,24,7.917,29.5,29.0,
callers,27,16,138,97,4.762,1.26,29.0,
retry,80,17,409,268,14.119,0.37,28.9,
committed,96,26,490,219,17.267,44.7,28.4,
shipped,36,22,184,73,6.546,10.7,28.1,
publish,220,18,1124,1484,40.611,12.6,27.7,
credential,49,10,250,170,9.084,0.56,27.5,
canonical,57,18,291,170,10.767,2.09,27.0,
pushed,120,35,613,316,22.873,26.9,26.8,
wins,30,20,153,24,5.833,50.1,26.3,
flows,31,13,158,97,6.073,13.8,26.1,
unset,46,9,235,49,9.062,0.07,25.9,
transient,34,13,174,97,6.7,2.34,25.9,
touches,39,21,199,0,7.829,9.55,25.4,
vars,62,18,317,341,12.646,0.14,25.0,
clean,496,57,2533,341,103.458,93.3,24.5,
rejected,58,13,296,97,12.198,23.4,24.3,
draft,48,16,245,195,10.209,40.7,24.0,
fresh,87,28,444,73,18.565,67.6,23.9,
wire,66,23,337,73,14.121,26.9,23.9,
verifying,29,13,148,0,6.342,1.23,23.4,
chat,74,15,378,657,16.491,37.2,22.9,
fallback,63,21,322,49,14.061,0.46,22.9,
mismatch,60,18,306,243,13.408,1.26,22.9,
dropped,80,29,409,49,18.017,53.7,22.7,
as-is,38,25,194,0,8.594,3920.0,22.6,
broke,29,16,148,73,6.632,70.8,22.3,
intact,27,13,138,49,6.394,9.55,21.6,
stash,24,9,123,24,5.678,3.47,21.6,
agents,36,20,184,243,8.537,35.5,21.5,
honest,44,20,225,0,10.489,53.7,21.4,
deliberately,20,17,102,0,4.799,10.5,21.3,
surface,73,25,373,73,17.699,67.6,21.1,
thin,33,13,169,49,8.307,29.5,20.3,
diff,81,35,414,268,20.646,1.58,20.0,
